"args_get",1,5203.809523809524,5203.809523809524
"args_sizes_get",1,1213.3333333333333,1213.3333333333333
"fd_close",2,5069.047619047618,4629.258620357007
"path_open",2,20568.095238095237,16618.867839114922
"fd_prestat_dir_name",1,2742.8571428571427,2742.8571428571427
"path_filestat_get",1,18762.85714285714,18762.85714285714
"fd_prestat_get",2,6846.666666666666,5376.552773654431
"fd_read",2566,1959.384997958651,inf
"fd_write",11,67410.4761904762,63501.055367832734
"fd_fdstat_get",3,5064.761904761905,3411.259987374987
