"args_sizes_get",1,1216.1904761904761,1216.1904761904761
"path_open",4,11988.809523809523,10049.008394988598
"fd_close",4,3715.2380952380954,3269.10777799713
"fd_seek",1,4234.285714285714,4234.285714285714
"fd_write",2,43814.28571428571,38506.65132049744
"fd_read",28,21503.197278911564,3478.9215052839213
"args_get",1,3551.428571428571,3551.428571428571
"fd_fdstat_get",5,3758.857142857142,1411.4544735740164
"fd_prestat_get",2,7294.285714285714,5808.398954333148
"fd_prestat_dir_name",1,8712.380952380952,8712.380952380952
"clock_time_get",4,9089.047619047618,8411.408762185365
