"fd_close",2,2972.8571428571427,2827.3850325785093
"path_filestat_get",1,39293.33333333333,39293.33333333333
"args_get",1,1251.4285714285713,1251.4285714285713
"args_sizes_get",1,200.0,200.0
"fd_read",2566,1239.0765690531873,inf
"fd_write",11,40698.87445887446,38475.31529271045
"fd_prestat_get",2,3448.0952380952376,529.8474516268478
"path_open",2,35334.7619047619,32471.847663829474
"fd_prestat_dir_name",1,219.04761904761904,219.04761904761904
"fd_fdstat_get",3,3157.4603174603176,2766.5704497308398
