"path_open",6,20045.873015873014,19740.349707371846
"fd_pwrite",224471,2779.8818852621043,inf
"fd_filestat_get",8,7535.833333333332,6875.5507845758175
"clock_time_get",64,1115.6547619047615,787.5799945092186
"args_sizes_get",1,1425.7142857142856,1425.7142857142856
"args_get",1,2956.190476190476,2956.190476190476
"fd_close",6,1263790.0,360442.1660625249
"path_filestat_get",36,6710.820105820105,5493.386931172724
"path_unlink_file",6,12863.333333333334,12776.448746064067
"fd_filestat_set_size",16,405417.3214285714,126051.78706054589
"fd_prestat_get",2,9784.285714285714,7049.311379823224
"fd_fdstat_get",13,1365.4212454212452,875.761735658106
"fd_pread",586623,2337.5435022233046,inf
"fd_write",34,14087.394957983191,13786.940725225006
"environ_sizes_get",1,822.8571428571428,822.8571428571428
"fd_prestat_dir_name",1,3141.904761904762,3141.904761904762
