"writev",66,4764.963924963926,3592.837745895412
"fcntl",13,764.8351648351648,710.2087469316123
"close",6,1229468.8888888888,328790.75888987916
"clock_gettime",64,751.7410714285711,709.3608142001723
"fstat",21,885.3968253968253,833.8377130875518
"preadv",586623,1426.7882471446771,inf
"openat",6,15990.63492063492,15702.780117316825
"newfstatat",36,1442.671957671958,1426.9562376929675
"ftruncate",16,400757.08333333326,117343.87741822391
"unlinkat",6,4477.619047619047,4440.7489907911695
"pwritev",224471,1835.9922662615238,inf
